名前,メイン,サブ1,サブ2,サブ3
アイロニックレイヤード,攻撃力アップ,なし,なし,なし
アオサドーレ,攻撃力アップ,なし,なし,なし
かくれパイレーツ,攻撃力アップ,なし,なし,なし
カレッジスウェット ネイビー,攻撃力アップ,なし,なし,なし
ロッケンベルグT ブラック,攻撃力アップ,なし,なし,なし
イカ娘ノースリーブ,攻撃力アップ,なし,なし,なし
ボーダーネイビー,攻撃力アップ,なし,なし,なし
スタジャンロゴマシ,攻撃力アップ,なし,なし,なし
エゾッコラグラン,防御力アップ,なし,なし,なし
ニクショクT,防御力アップ,なし,なし,なし
ミントT,防御力アップ,なし,なし,なし
ヤキフグ8bit ブラック,防御力アップ,なし,なし,なし
FCカラスミ,防御力アップ,なし,なし,なし
ベイビークラゲシャツ,防御力アップ,なし,なし,なし
チャリキングジャージ,防御力アップ,なし,なし,なし
レトロジャッジ,防御力アップ,なし,なし,なし
オータムネル,インク効率アップ(メイン),なし,なし,なし
ベクトルパターン レッド,インク効率アップ(メイン),なし,なし,なし
レイニーブルーT,インク効率アップ(メイン),なし,なし,なし
レイヤード ブラック,インク効率アップ(メイン),なし,なし,なし
イカセーラー ホワイト,インク効率アップ(メイン),なし,なし,なし
ギンガムチェック アカ,インク効率アップ(メイン),なし,なし,なし
イカホワイト,インク効率アップ(サブ),なし,なし,なし
バスケジャージ アウェイ,インク効率アップ(サブ),なし,なし,なし
パールドットT,インク効率アップ(サブ),なし,なし,なし
マルエリシャツ,インク効率アップ(サブ),なし,なし,なし
ヤマビコT ブルー,インク効率アップ(サブ),なし,なし,なし
タコゾネスプロテクター,インク効率アップ(サブ),なし,なし,なし
チョコガサネ,インク効率アップ(サブ),なし,なし,なし
おどるイカアロハ,インク回復力アップ,なし,なし,なし
グレープT,インク回復力アップ,なし,なし,なし
バトロングホワイト,インク回復力アップ,なし,なし,なし
シロシャツ,インク回復力アップ,なし,なし,なし
スクールブレザー,インク回復力アップ,なし,なし,なし
ロゴマシマシアロハ,インク回復力アップ,なし,なし,なし
ロッケンベルグT ホワイト,インク回復力アップ,なし,なし,なし
フォレストダウン,インク回復力アップ,なし,なし,なし
イカノメT ブラック,ヒト移動速度アップ,なし,なし,なし
ウーニーズBBシャツ,ヒト移動速度アップ,なし,なし,なし
クラーゲス528,ヒト移動速度アップ,なし,なし,なし
マリンボーダー,ヒト移動速度アップ,なし,なし,なし
F-190,ヒト移動速度アップ,なし,なし,なし
オレンジボーダーラガー,ヒト移動速度アップ,なし,なし,なし
ガチガサネ,ヒト移動速度アップ,なし,なし,なし
カレッジスウェット グレー,イカダッシュ速度アップ,なし,なし,なし
チドリメロンT,イカダッシュ速度アップ,なし,なし,なし
ハラグロラグラン,イカダッシュ速度アップ,なし,なし,なし
マルフグT,イカダッシュ速度アップ,なし,なし,なし
ラインT ホワイト,イカダッシュ速度アップ,なし,なし,なし
ヒーロージャケット レプリカ,イカダッシュ速度アップ,なし,なし,なし
マウンテンダウン,イカダッシュ速度アップ,なし,なし,なし
カモガサネ,スペシャル増加量アップ,なし,なし,なし
サニーオレンジT,スペシャル増加量アップ,なし,なし,なし
レタードオレンジ,スペシャル増加量アップ,なし,なし,なし
ウラスカジャン,スペシャル増加量アップ,なし,なし,なし
サムライジャケット,スペシャル増加量アップ,なし,なし,なし
アーマージャケット レプリカ,スペシャル増加量アップ,なし,なし,なし
ミスターベースボール,スペシャル増加量アップ,なし,なし,なし
イカゴッチンベスト,スペシャル時間延長,なし,なし,なし
アイロニックロング,スペシャル時間延長,なし,なし,なし
イカブラック,スペシャル時間延長,なし,なし,なし
パイレーツボーダー,スペシャル時間延長,なし,なし,なし
リールロールスウェット,スペシャル時間延長,なし,なし,なし
ジップアップ グリーン,スペシャル時間延長,なし,なし,なし
マウンテンベリー,スペシャル時間延長,なし,なし,なし
イカライダーWHITE,スペシャル時間延長,なし,なし,なし
トリコロールラガー,復活時間短縮,なし,なし,なし
わかばイカT,復活時間短縮,なし,なし,なし
タイショウのまえかけ,復活時間短縮,なし,なし,なし
パワードスーツ,復活時間短縮,なし,なし,なし
ボーダーホワイト,復活時間短縮,なし,なし,なし
イカスカジャン,復活時間短縮,なし,なし,なし
FCジャージー,復活時間短縮,なし,なし,なし
ジップアップ カモ,復活時間短縮,なし,なし,なし
ドカンT ブラック,スペシャル減少量ダウン,なし,なし,なし
レイヤード ホワイト,スペシャル減少量ダウン,なし,なし,なし
グリーンT,スペシャル減少量ダウン,なし,なし,なし
バスケジャージ ホーム,スペシャル減少量ダウン,なし,なし,なし
ベクトルラインガサネ,スペシャル減少量ダウン,なし,なし,なし
イカジャマイカ,スペシャル減少量ダウン,なし,なし,なし
タイシャツ,スペシャル減少量ダウン,なし,なし,なし
フェスＴ,スペシャル減少量ダウン,なし,なし,なし
イカスタンシャツ,スーパージャンプ時間短縮,なし,なし,なし
ハラシロラグラン,スーパージャンプ時間短縮,なし,なし,なし
ベクトルパターン グレー,スーパージャンプ時間短縮,なし,なし,なし
マスタードガサネ,スーパージャンプ時間短縮,なし,なし,なし
ヤマビコボーダー,スーパージャンプ時間短縮,なし,なし,なし
バニーポップ ブラック,スーパージャンプ時間短縮,なし,なし,なし
ブロックストライプシャツ,スーパージャンプ時間短縮,なし,なし,なし
ミックスシャツグレー,スーパージャンプ時間短縮,なし,なし,なし
イカバッテン マスタード,ボム飛距離アップ,なし,なし,なし
カモフラパープル,ボム飛距離アップ,なし,なし,なし
シャンブレーシャツ,ボム飛距離アップ,なし,なし,なし
ギンガムチェック ミドリ,ボム飛距離アップ,なし,なし,なし
ホッコリー ネイビー,ボム飛距離アップ,なし,なし,なし
イカセーラー ブルー,ボム飛距離アップ,なし,なし,なし
イカライダーBLACK,ボム飛距離アップ,なし,なし,なし
イカノボリベスト,マーキングガード,なし,なし,なし
イカノメT ライトブルー,マーキングガード,なし,なし,なし
よもぎポロ,マーキングガード,なし,なし,なし
イカリスウェット,マーキングガード,なし,なし,なし
テッカサイクルシャツ,マーキングガード,なし,なし,なし
アーバンベスト ナイト,マーキングガード,なし,なし,なし
さくらエビポロ,イカニンジャ,なし,なし,なし
ソウショクT,イカニンジャ,なし,なし,なし
ボーダーモスグリーン,イカニンジャ,なし,なし,なし
エゾッコパーカー アズキ,イカニンジャ,なし,なし,なし
スクールジャージー,イカニンジャ,なし,なし,なし
ガチホワイト,イカニンジャ,なし,なし,なし
イカバッテンロング,うらみ,なし,なし,なし
ヤマビコT アイボリー,うらみ,なし,なし,なし
F-010,うらみ,なし,なし,なし
アーバンベスト イエロー,うらみ,なし,なし,なし
ヴィンテージチェック,うらみ,なし,なし,なし
タコT,うらみ,なし,なし,なし
カレッジラグラン,スタートレーダー,なし,なし,なし
ピンポンポロ,スタートレーダー,なし,なし,なし
ヤキフグ8bit ホワイト,スタートレーダー,なし,なし,なし
