名前,メイン,サブ1,サブ2,サブ3
シアンビーンズ,攻撃力アップ,なし,なし,なし
レイニーシャボン,攻撃力アップ,なし,なし,なし
アケビコンフォート,攻撃力アップ,なし,なし,なし
イカヤキチップ,防御力アップ,なし,なし,なし
グリッチョ ブルー,防御力アップ,なし,なし,なし
スリッポン チドリ,防御力アップ,なし,なし,なし
オレンジアローズ,インク効率アップ(メイン),なし,なし,なし
シーホースHi レッド,インク効率アップ(メイン),なし,なし,なし
パワードレッグス,インク効率アップ(メイン),なし,なし,なし
アーマーブーツ レプリカ,インク効率アップ(メイン),なし,なし,なし
ブルーベリーコンフォート,インク効率アップ(サブ),なし,なし,なし
スクールローファー,インク効率アップ(サブ),なし,なし,なし
グリッチョ グリーン 限定版,インク効率アップ(サブ),なし,なし,なし
ベリベリホワイト,インク効率アップ(サブ),なし,なし,なし
キャンバスHi モロヘイヤ,インク回復力アップ,なし,なし,なし
シーホース ホワイト,インク回復力アップ,なし,なし,なし
ジョーズモカシン,インク回復力アップ,なし,なし,なし
トレッキングライト,インク回復力アップ,なし,なし,なし
ウミウシパープル,ヒト移動速度アップ,なし,なし,なし
オイスタークロッグ,ヒト移動速度アップ,なし,なし,なし
レイニーアセロラ,ヒト移動速度アップ,なし,なし,なし
シーホースHi ゴールド,ヒト移動速度アップ,なし,なし,なし
タイショウのゲタ,ヒト移動速度アップ,なし,なし,なし
グリッチョ オレンジ,イカダッシュ速度アップ,なし,なし,なし
ラバーソール ホワイト,イカダッシュ速度アップ,なし,なし,なし
イカ娘シューズ,イカダッシュ速度アップ,なし,なし,なし
シーホース ブラックレザー,イカダッシュ速度アップ,なし,なし,なし
ウミウシブルー,スペシャル増加量アップ,なし,なし,なし
キャンバス クマノミ,スペシャル増加量アップ,なし,なし,なし
シーホースHi ゾンビ,スペシャル増加量アップ,なし,なし,なし
ラバーソール ターコイズ,スペシャル増加量アップ,なし,なし,なし
ロッキンホワイト,スペシャル増加量アップ,なし,なし,なし
シーホースHi パープル,スペシャル時間延長,なし,なし,なし
サムライシューズ,スペシャル時間延長,なし,なし,なし
トレッキングカスタム,スペシャル時間延長,なし,なし,なし
ホワイトアローズ,スペシャル時間延長,なし,なし,なし
イカスミチップ,復活時間短縮,なし,なし,なし
ブラックビーンズ,復活時間短縮,なし,なし,なし
チョコクロッグ,復活時間短縮,なし,なし,なし
モトクロスブーツ,復活時間短縮,なし,なし,なし
キャンバス ホワイト,スペシャル減少量ダウン,なし,なし,なし
タコゾネスブーツ,スペシャル減少量ダウン,なし,なし,なし
ロッキンイエロー,スペシャル減少量ダウン,なし,なし,なし
ウミウシレッド,スペシャル減少量ダウン,なし,なし,なし
スリッポン レッド,スーパージャンプ時間短縮,なし,なし,なし
ヒーローキックス レプリカ,スーパージャンプ時間短縮,なし,なし,なし
ヌバックブーツ レッド,スーパージャンプ時間短縮,なし,なし,なし
ミルキーダウンブーツ,スーパージャンプ時間短縮,なし,なし,なし
シャークモカシン,ボム飛距離アップ,なし,なし,なし
スリッポン ブルー,ボム飛距離アップ,なし,なし,なし
ピンクビーンズ,ボム飛距離アップ,なし,なし,なし
ヌバックブーツ イエロー,ボム飛距離アップ,なし,なし,なし
キャンバス バナナ,ボムサーチ,なし,なし,なし
シーホース イエロー,ボムサーチ,なし,なし,なし
トレッキングプロ,ボムサーチ,なし,なし,なし
ユデスパイカ,ボムサーチ,なし,なし,なし
ロッキンチェリー,ボムサーチ,なし,なし,なし
ウミウシイエロー,安全シューズ,なし,なし,なし
ベリベリレッド,安全シューズ,なし,なし,なし
キャンバスHi トマト,安全シューズ,なし,なし,なし
レアスパイカ,安全シューズ,なし,なし,なし
モトクロス ソリッドブルー,安全シューズ,なし,なし,なし
キャンバスHi マッシュルーム,ステルスジャンプ,なし,なし,なし
ラバーソール チェリー,ステルスジャンプ,なし,なし,なし
レイニーモスグリーン,ステルスジャンプ,なし,なし,なし
アイスダウンブーツ,ステルスジャンプ,なし,なし,なし
クレイジーアローズ,ステルスジャンプ,なし,なし,なし
